path,published_risk,modified_risk,risk_change,trend
K->M->N->C,4.9,4.9,0.0,→ Sabit
K->M->N->E,4.9,4.8,-0.10000000000000053,↓ İyileşen
K->M->N->L,3.1,3.2,0.10000000000000009,↑ Kötüleşen
K->M->N->O,3.1,5.0,1.9,↑ Kötüleşen
L->G,3.1,2.9,-0.20000000000000018,↓ İyileşen
L->G->F,4.1,4.1,0.0,→ Sabit
L->G->F->E,4.9,4.6,-0.3000000000000007,↓ İyileşen
L->G->H,2.1,2.0,-0.10000000000000009,↓ İyileşen
L->G->H->E,3.3,3.0,-0.2999999999999998,↓ İyileşen
L->G->H->I,3.5,3.3,-0.20000000000000018,↓ İyileşen
L->H,0.0,0.0,0.0,→ Sabit
L->H->E,2.4,2.1,-0.2999999999999998,↓ İyileşen
L->H->E->D,3.2,3.0,-0.20000000000000018,↓ İyileşen
L->H->E->F,3.3,3.2,-0.09999999999999964,→ Sabit
L->H->E->N,1.8,1.6,-0.19999999999999996,↓ İyileşen
L->H->G,2.1,2.0,-0.10000000000000009,↓ İyileşen
L->H->G->F,3.1,3.1,0.0,→ Sabit
L->H->I,2.6,2.5,-0.10000000000000009,↓ İyileşen
L->H->I->J,3.7,3.6,-0.10000000000000009,↓ İyileşen
L->H->I->M,3.5,3.6,0.10000000000000009,↑ Kötüleşen
L->K,3.1,3.1,0.0,→ Sabit
L->K->C,4.4,4.3,-0.10000000000000053,↓ İyileşen
L->K->C->B,5.3,5.2,-0.09999999999999964,→ Sabit
L->K->C->D,4.7,4.6,-0.10000000000000053,↓ İyileşen
L->K->C->M,4.9,4.9,0.0,→ Sabit
L->K->C->N,3.3,3.2,-0.09999999999999964,→ Sabit
L->K->J,4.4,4.4,0.0,→ Sabit
L->K->J->I,5.2,5.1,-0.10000000000000053,↓ İyileşen
L->K->M,4.1,4.3,0.20000000000000018,↑ Kötüleşen
L->K->M->C,4.9,4.9,0.0,→ Sabit
L->K->M->I,5.0,5.1,0.09999999999999964,→ Sabit
L->K->M->N,3.1,3.2,0.10000000000000009,↑ Kötüleşen
L->M,3.1,3.4,0.2999999999999998,↑ Kötüleşen
L->M->C,4.5,4.5,0.0,→ Sabit
L->M->C->B,5.3,5.4,0.10000000000000053,↑ Kötüleşen
L->M->C->D,4.8,4.8,0.0,→ Sabit
L->M->C->K,4.9,4.9,0.0,→ Sabit
L->M->C->N,3.4,3.4,0.0,→ Sabit
L->M->I,4.7,4.8,0.09999999999999964,→ Sabit
L->M->I->H,3.5,3.6,0.10000000000000009,↑ Kötüleşen
L->M->I->J,5.2,5.3,0.09999999999999964,→ Sabit
L->M->K,4.1,4.3,0.20000000000000018,↑ Kötüleşen
L->M->K->C,4.9,4.9,0.0,→ Sabit
L->M->K->J,4.8,5.0,0.20000000000000018,↑ Kötüleşen
L->M->N,2.1,2.3,0.19999999999999973,↑ Kötüleşen
L->M->N->C,3.4,3.4,0.0,→ Sabit
L->M->N->E,3.4,3.3,-0.10000000000000009,↓ İyileşen
L->M->N->O,1.6,3.5,1.9,↑ Kötüleşen
L->N,0.0,0.0,0.0,→ Sabit
L->N->C,2.4,2.3,-0.10000000000000009,↓ İyileşen
L->N->C->B,3.7,3.7,0.0,→ Sabit
L->N->C->D,3.2,3.1,-0.10000000000000009,↓ İyileşen
L->N->C->K,3.3,3.2,-0.09999999999999964,→ Sabit
L->N->C->M,3.4,3.4,0.0,→ Sabit
L->N->E,2.4,2.1,-0.2999999999999998,↓ İyileşen
L->N->E->D,3.2,3.0,-0.20000000000000018,↓ İyileşen
L->N->E->F,3.3,3.2,-0.09999999999999964,→ Sabit
L->N->E->H,1.8,1.6,-0.19999999999999996,↓ İyileşen
L->N->M,2.1,2.3,0.19999999999999973,↑ Kötüleşen
L->N->M->C,3.4,3.4,0.0,→ Sabit
L->N->M->I,3.5,3.6,0.10000000000000009,↑ Kötüleşen
L->N->M->K,3.1,3.2,0.10000000000000009,↑ Kötüleşen
L->N->O,0.0,2.4,2.4,↑ Kötüleşen
L->N->O->A,2.0,3.8,1.7999999999999998,↑ Kötüleşen
M->C,6.7,6.8,0.09999999999999964,→ Sabit
M->C->B,7.1,7.2,0.10000000000000053,↑ Kötüleşen
M->C->B->A,7.3,7.3,0.0,→ Sabit
M->C->D,6.4,6.4,0.0,→ Sabit
M->C->D->E,6.6,6.4,-0.1999999999999993,↓ İyileşen
M->C->K,6.5,6.6,0.09999999999999964,→ Sabit
M->C->K->J,6.6,6.7,0.10000000000000053,↑ Kötüleşen
M->C->K->L,4.9,4.9,0.0,→ Sabit
M->C->N,4.5,4.5,0.0,→ Sabit
